"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2ggE6JKuRqHtXtSGrAT49C","Om Jai Lakshmi Mata","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:6ixIBy87vsTCsCo0OIFD0g","Shree Vaibhav Maha Lakshmi Sankirtan","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2018-08-24","https://i.scdn.co/image/ab67616d0000b2730a97a1bcf4c72d6647459c57","1","3","343576","https://p.scdn.co/mp3-preview/57d9ac7f464ea73ee0d29068674a00bcb3345c75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:79RNU25GYb0RSwrvRUzYbp","Aarti Shree Lakshmiji","spotify:artist:3R2OMv8JpXLy6ZIW7Qxz59","Usha Mangeshkar","spotify:album:21MYBr65tC7EAIdfUEWzgq","Top 10 - Diwali Bhajans & Aartis","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-17","https://i.scdn.co/image/ab67616d0000b273bd1f3e3c64690f023eaf7a4d","1","10","385227","https://p.scdn.co/mp3-preview/0f217abf80600dcbf0d34c8fb16943c6adb87670?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1IBvuBjE6wVh1nobm67k7I","Om Jai Jagdish Hare","spotify:artist:2yis41rltks0pQr6nCBAD6","Maanya Arora","spotify:album:1zJ3vS1EbSoBz9hGZXbb8a","Om Jai Jagdish Hare","spotify:artist:2yis41rltks0pQr6nCBAD6","Maanya Arora","2020-03-12","https://i.scdn.co/image/ab67616d0000b273cdc74182d0a508b327b9ccfa","1","1","324310","https://p.scdn.co/mp3-preview/62f002681a40139023fc9340e13394137763dd39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:2UQ0Nn2OxDmOYUIJOLsLM1","Aarti Shree Saraswatiji","spotify:artist:3R2OMv8JpXLy6ZIW7Qxz59","Usha Mangeshkar","spotify:album:0qeRbvbs3TY3g5TRkuoEmH","Top 10 - Diwali Bhajans And Aartis","spotify:artist:0w4e7HVbqAHFPN6VkIlvhe","Suresh Wadkar","2016-10-20","https://i.scdn.co/image/ab67616d0000b273bc7be733b225625f66cf8e85","1","3","206471","https://p.scdn.co/mp3-preview/5208a11aa03ef884e7a6656d31ac4b1312110411?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:5Mq5CtTkmugMU9Hjn491LT","Gayatri Mantra","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:21j95UxcQTlHLVydxLs4o4","Gayatri By Anuradha Paudwal","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2011-01-01","https://i.scdn.co/image/ab67616d0000b2732c33d42017a5e63a20966851","1","1","524760","","false","43","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:6BZQsmP2KByv2yNDwSDlvp","Aarti Kunj Bihari Ki","spotify:artist:7nRW8vEOdNgCXvSr8TOCFd","Vandana Bhardwaj","spotify:album:78vJKHhowWKYY7ybUi1CMQ","Diwali Special - Aarti, Mantra, Chalisa","spotify:artist:7nRW8vEOdNgCXvSr8TOCFd, spotify:artist:41awFDhJ2XxmdMQji5Mkf8, spotify:artist:0HOfziw1juJN8RlMwhFtcd","Vandana Bhardwaj, Rakesh Kala, Chetna","2015","https://i.scdn.co/image/ab67616d0000b2739bc4d67192532d4117e86cba","1","5","266800","https://p.scdn.co/mp3-preview/f96126ef25272c5c52c99a71e51f53f314f2d15a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1EMadwxHJVYQvdgPt55xfC","Auspicious Beginnings - The Shri Ganesh Atharvashirsha (feat. Vidura Barrios)","spotify:artist:7rZubTb0F8TCTUsNBgfy9I, spotify:artist:2apzd1IG8B7e6MBB3XfFDi","Music for Deep Meditation, Vidura Barrios","spotify:album:6lM7i1IlB9BpTEG0NbzC1U","Diwali - Lakshmi Mantras for Abundance and Protection","spotify:artist:7rZubTb0F8TCTUsNBgfy9I","Music for Deep Meditation","2012-11-09","https://i.scdn.co/image/ab67616d0000b27349c820b2b54bfebbe971d516","1","1","343750","https://p.scdn.co/mp3-preview/f13d06afb071a34b63105a469d975f9e3fb815d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1iUfkAmbRf8F1LvYIXIFVH","Tulsi Aarti","spotify:artist:5tF1NFJk94pRxMjqMVGjIW, spotify:artist:2oKrQNVX1h5pXjDK5dNjln","Ashit Desai, Hema Desai","spotify:album:21MYBr65tC7EAIdfUEWzgq","Top 10 - Diwali Bhajans & Aartis","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-17","https://i.scdn.co/image/ab67616d0000b273bd1f3e3c64690f023eaf7a4d","1","2","243278","https://p.scdn.co/mp3-preview/a45f674f2c869eea5f63cac168ec230c4312826e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:7fjcsZRENHFFX0gIEXVPEJ","Raam Naam Ras Peejay","spotify:artist:1HGMG8RHvcu1mfdM9MeTek, spotify:artist:6xOOEKbsrxfFVJ1hsso3Zf","Sadhana Sargam, Sumeet Tappoo","spotify:album:21MYBr65tC7EAIdfUEWzgq","Top 10 - Diwali Bhajans & Aartis","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-17","https://i.scdn.co/image/ab67616d0000b273bd1f3e3c64690f023eaf7a4d","1","5","398080","https://p.scdn.co/mp3-preview/a7bd80bb5a2cd255d873023c9cfb40b42c877060?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:3daj4xqQWMaGNYIbkKJlSS","Shri Ramchandra Kripalu Bhajuman","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:1aPdq4sAWH8wIaA9Y00IqB","Diwali - Songs of Devotion","spotify:artist:4iA6bUhiZyvRKJf4FNVX39","Vijay Prakash","2016-10-20","https://i.scdn.co/image/ab67616d0000b27312b1344aa01e7d5764e107f1","1","4","319007","https://p.scdn.co/mp3-preview/f01b333327a7264776a534b34134f4286a6b4e49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:28ytUukTTihBjOu9SBbvEa","Ya Devi Sarva Bhuteshu (Mahalaxmi Mantra)","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:2TO25xaQCrJ1cieNyKKU4K","Mahalaxmi Mantra","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2005-10-28","https://i.scdn.co/image/ab67616d0000b273cf53a9525ec867376ed75593","1","1","484253","https://p.scdn.co/mp3-preview/a889904b6947f71a4fc99944ded80e11bce1334b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:6qNBqeNeSfuThyE1UcHnZF","Jai Laxmi Mata","spotify:artist:3e23DvNuM4Z78nPsX8P1D9","Lalitya Munshaw","spotify:album:1E4n2nINUHAdVM5FTIwlaG","Aarti Sangrah - Diwali Special","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-10-23","https://i.scdn.co/image/ab67616d0000b273777365afdece19bbd60cd658","1","2","345652","https://p.scdn.co/mp3-preview/42c1618f291f3851551fd574550370372aefb2a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:30cgDQSyO40OtqifYwJAdY","Shri Maha Laxmi Chalisa","spotify:artist:0HOfziw1juJN8RlMwhFtcd","Chetna","spotify:album:78vJKHhowWKYY7ybUi1CMQ","Diwali Special - Aarti, Mantra, Chalisa","spotify:artist:7nRW8vEOdNgCXvSr8TOCFd, spotify:artist:41awFDhJ2XxmdMQji5Mkf8, spotify:artist:0HOfziw1juJN8RlMwhFtcd","Vandana Bhardwaj, Rakesh Kala, Chetna","2015","https://i.scdn.co/image/ab67616d0000b2739bc4d67192532d4117e86cba","1","11","505024","https://p.scdn.co/mp3-preview/0552e85058a8566e46f5b153973ccd1dffa49920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:3DVQnrqH68yv3tVA85Ufap","Hey Ram Hey Ram","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:7xZ3tAeOVXbHeVxRgsaJaO","Diwali Essentials","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","2018-10-31","https://i.scdn.co/image/ab67616d0000b273af1573753c70a66b500c6e2d","1","6","1748845","https://p.scdn.co/mp3-preview/bc1ffc7ba3242aec27affb6217518017faa7ffbd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:1cbNlsmz8LeP0trvXRe9N4","Mangalbhawan Amangalhari (Ramayan Chaupaiyaan)","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","spotify:album:7xZ3tAeOVXbHeVxRgsaJaO","Diwali Essentials","spotify:artist:3kzGeGPP5gd5KAMm6QggHV","Anup Jalota","2018-10-31","https://i.scdn.co/image/ab67616d0000b273af1573753c70a66b500c6e2d","1","8","351490","https://p.scdn.co/mp3-preview/0d0a72e1d70116604175884797f31a860e51cbf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:60dYvJIrP8fsdtbtZFv7kf","Laxmi Beej Mantra","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","spotify:album:5IsscYZrj7RLqPmMvVh7UY","Sampoorna Diwali Poojan","spotify:artist:4hkB2bR5ek6lJChj6aunCn","Anuradha Paudwal","2018-08-23","https://i.scdn.co/image/ab67616d0000b27341fa45ee22317202590d4684","1","4","402493","https://p.scdn.co/mp3-preview/952969d4facfe886df6ee99d73f0c27dc45a621c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:75wqfbHSIg36XBn5OgFbeM","Ya Devi Sarva Bhuteshu","spotify:artist:5jp0XozxgaHPxagbfQsQn1","Ram Shankar","spotify:album:76PP0LWP4yKfj565axsfX3","Diwali - Songs of Devotion","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2016-10-17","https://i.scdn.co/image/ab67616d0000b27347482704e079d31bafef0fe0","1","5","552176","https://p.scdn.co/mp3-preview/dc60a29a3d1d6799b0f734566cf421ddf0219775?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:","2021-11-24T04:24:10Z"
"spotify:track:4g3vp9FkNf7qIRlqAdo2XH","Shri Ram Jai Ram (Dhun)","spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu","Hariharan","spotify:album:0AT2kWx2qBtzyExdXMvUF8","Shri Ram Jai Ram (Dhun)","spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu","Hariharan","1999-11-19","https://i.scdn.co/image/ab67616d0000b273b3f82634863367caabc7978e","1","1","2738494","https://p.scdn.co/mp3-preview/463005da8d8cc82f84a0b6b32007b709ae7d76b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:","2021-11-24T04:24:10Z"
