Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
077rIZd78QUFgceXuMcDUU,0gXDpqwYNDODn7fB0RDN8J,Bhajore Man Ram Govind Hari,Devotional Classics By Bollywood Legends,Mohammed Rafi,01-01-2013,286066,0,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:19Z,"classic bollywood,classic tollywood,desi pop,filmi,sufi",0.534,0.336,7,-16.62,0,0.097,0.311,0,0.0825,0.803,87.167,4
0txc4ImngvUmtRj6QI44Sr,61JrslREXq98hurYL2hYoc,Shree Ramchandra Kripalu Bhajman,Devotional Classics By Bollywood Legends,Lata Mangeshkar,01-01-2013,312693,2,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:25Z,"classic bollywood,desi pop,filmi",0.537,0.514,2,-7.123,1,0.0314,0.885,0.00000725,0.106,0.574,145.593,1
6YoRCMF9qPH56ycFGGV5ID,61JrslREXq98hurYL2hYoc,Aaji Soniyacha Dinu,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,222640,6,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:40Z,"classic bollywood,desi pop,filmi",0.377,0.411,6,-10.428,1,0.036,0.933,0.0000721,0.484,0.551,84.841,4
1oOejBBARLyCiubqSAPkvN,61JrslREXq98hurYL2hYoc,Om Namoji Aadya,Dhyaneshwar Mauli Lata Mangeshkar,Lata Mangeshkar,20-12-2002,215186,10,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:44Z,"classic bollywood,desi pop,filmi",0.338,0.189,6,-11.673,1,0.0299,0.954,0.000238,0.101,0.131,109.171,4
2lsIwMPB7Sv11a8oAawx2k,61JrslREXq98hurYL2hYoc,Pasaydaan,Dhyaneshwar Mauli Lata Mangeshkar,Lata Mangeshkar,20-12-2002,237360,15,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:44Z,"classic bollywood,desi pop,filmi",0.339,0.0334,5,-17.919,0,0.0405,0.994,0.44,0.128,0.233,67.19,5
3IcBvm8VxQTUdJtqwIOWF8,61JrslREXq98hurYL2hYoc,Aate Viswztmak,Dhyaneshwar Mauli Lata Mangeshkar,Lata Mangeshkar,20-12-2002,229600,5,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:44Z,"classic bollywood,desi pop,filmi",0.439,0.0574,8,-14.743,0,0.0392,0.993,0.00000185,0.113,0.303,113.022,4
7phFjOIHn61WmUPukPe2PU,61JrslREXq98hurYL2hYoc,Aaji Soniyacha Dinu,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,222640,20,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:49Z,"classic bollywood,desi pop,filmi",0.378,0.411,6,-10.428,1,0.036,0.933,0.0000703,0.484,0.551,84.841,4
5ORl0leUCtciDav4YM9CG4,61JrslREXq98hurYL2hYoc,Are Are Dnyana Jhalasi Pavan,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,191653,18,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:49Z,"classic bollywood,desi pop,filmi",0.393,0.46,2,-13.056,1,0.0328,0.739,0,0.128,0.455,95.002,4
4kKrwNi0VtJmpuUrVai8I4,61JrslREXq98hurYL2hYoc,Avachita Parimalu,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,238720,16,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:49Z,"classic bollywood,desi pop,filmi",0.363,0.24,0,-13.89,0,0.0322,0.89,0,0.27,0.454,128.314,4
4TLTfyi1FXREhs42ELzHGO,61JrslREXq98hurYL2hYoc,Ranga Yei Vo,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,239400,17,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:49Z,"classic bollywood,desi pop,filmi",0.252,0.522,7,-7.571,1,0.0388,0.881,0,0.308,0.531,203.555,3
6nMLj4Ao4DtSWMC7QqWxK9,61JrslREXq98hurYL2hYoc,Vishwache Aart Mazya Mani,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,166506,16,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:49Z,"classic bollywood,desi pop,filmi",0.423,0.392,7,-8.457,1,0.0329,0.953,0.00000305,0.139,0.562,119.819,4
7BmImE8HEvxk3VeWQFJcrW,61JrslREXq98hurYL2hYoc,Pasaydaan,Dhyaneshwar Mauli,Lata Mangeshkar,09-08-1988,237360,8,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:53Z,"classic bollywood,desi pop,filmi",0.36,0.0333,5,-17.919,0,0.0392,0.994,0.443,0.128,0.228,68.847,5
6L6JXz06GE4mF1iHiYHynM,61JrslREXq98hurYL2hYoc,Avachita Parimalu,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,238720,6,spotify:user:315p5rm4wx2zpifxywcmh56rtzga,2021-12-15T09:37:57Z,"classic bollywood,desi pop,filmi",0.363,0.24,0,-13.891,0,0.0319,0.89,0,0.27,0.455,128.868,4
